012800000,ILOCOS NORTE
012900000,ILOCOS SUR
013300000,LA UNION
015500000,PANGASINAN
020900000,BATANES
021500000,CAGAYAN
023100000,ISABELA
025000000,NUEVA VIZCAYA
025700000,QUIRINO
030800000,BATAAN
031400000,BULACAN
034900000,NUEVA ECIJA
035400000,PAMPANGA
036900000,TARLAC
037100000,ZAMBALES
037700000,AURORA
041000000,BATANGAS
042100000,CAVITE
043400000,LAGUNA
045600000,QUEZON
045800000,RIZAL
050500000,ALBAY
051600000,CAMARINES NORTE
051700000,CAMARINES SUR
052000000,CATANDUANES
054100000,MASBATE
056200000,SORSOGON
060400000,AKLAN
060600000,ANTIQUE
061900000,CAPIZ
063000000,ILOILO
067900000,GUIMARAS
071200000,BOHOL
072200000,CEBU
076100000,SIQUIJOR
082600000,EASTERN SAMAR
083700000,LEYTE
084800000,NORTHERN SAMAR
086000000,SAMAR (WESTERN SAMAR)
086400000,SOUTHERN LEYTE
087800000,BILIRAN
097200000,ZAMBOANGA DEL NORTE
097300000,ZAMBOANGA DEL SUR
098300000,ZAMBOANGA SIBUGAY
101300000,BUKIDNON
101800000,CAMIGUIN
103500000,LANAO DEL NORTE
104200000,MISAMIS OCCIDENTAL
104300000,MISAMIS ORIENTAL
112300000,DAVAO DEL NORTE
112400000,DAVAO DEL SUR
112500000,DAVAO ORIENTAL
118200000,COMPOSTELA VALLEY
118600000,DAVAO OCCIDENTAL
124700000,COTABATO (NORTH COTABATO)
126300000,SOUTH COTABATO
126500000,SULTAN KUDARAT
128000000,SARANGANI
140100000,ABRA
141100000,BENGUET
142700000,IFUGAO
143200000,KALINGA
144400000,MOUNTAIN PROVINCE
148100000,APAYAO
150700000,BASILAN
153600000,LANAO DEL SUR
153800000,MAGUINDANAO
156600000,SULU
157000000,TAWI-TAWI
160200000,AGUSAN DEL NORTE
160300000,AGUSAN DEL SUR
166700000,SURIGAO DEL NORTE
166800000,SURIGAO DEL SUR
168500000,DINAGAT ISLANDS
174000000,MARINDUQUE
175100000,OCCIDENTAL MINDORO
175200000,ORIENTAL MINDORO
175300000,PALAWAN
175900000,ROMBLON
184500000,NEGROS OCCIDENTAL
184600000,NEGROS ORIENTAL